Country Name,Country Code,Series Name,Series Code,1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Indonesia,IDN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,42.09164872,40.41873336,39.67107374,39.46683518,39.06634655,39.1334103,40.49863689,42.43966659,42.07171164,41.06081638,39.87190368,39.57890112,36.68682354,37.02727102,33.36863651,38.41724523,40.104784,41.06508569,41.03660373,40.33232249,40.08263854,39.48417538,37.45751503,37.05772988,40.66599029,40.58460421,40.87337489,41.51653748,42.24218531,43.30908092,43.64174881,43.61405533,43.40483731,44.22074584,44.41343995,42.82282063,41.79092558,42.87935174,43.77191679,..
Indonesia,IDN,Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,75.20876017,71.41156366,72.11445356,69.34342676,73.02420485,73.35970687,72.35621978,67.53530732,67.79695029,69.40611963,69.92414114,68.52406851,73.47495981,80.54825377,68.18236602,70.03922076,74.87969537,76.26750618,75.09034987,72.47199788,71.29622551,71.88915922,69.04503365,68.29193446,65.22309079,64.48203372,65.63803486,66.34718232,66.5641423,67.19943167,67.3546109,66.39614413,66.00112744,66.73893587,68.58964281,64.8757548,60.73472499,61.88041397,63.13112876,..
Indonesia,IDN,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,25.55099716,25.17103053,26.99155834,28.53472836,30.55156209,29.67141818,28.00259346,26.28067311,27.57068775,28.42981109,29.60236064,28.30767706,25.42950667,20.13875931,19.85085445,19.6726582,19.42916405,19.50605922,22.44861697,23.64051177,24.13099153,24.94694364,27.69859122,31.11476656,30.99940883,31.30745404,32.71962807,31.96577957,32.51674144,32.81192658,32.5777315,32.16063886,32.28849709,32.34688455,31.70975645,30.79419506,29.08487553,29.15266673,29.14558572,..
Indonesia,IDN,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,20.49560246,24.5768001,25.0416594,26.08755466,27.30575898,28.35126107,30.30746351,26.75481342,26.51142785,26.31216501,25.82455198,27.85924328,52.96813457,35.51412908,40.97730847,39.0321391,32.68762089,30.47765478,32.21669462,34.06726763,31.03471631,29.43571849,29.80828417,24.15911967,24.29903094,26.32735309,24.59437879,23.92357638,23.6659846,21.16017926,19.08899385,20.17730444,21.0027465,18.5915278,17.33116828,21.41655564,24.50291169,21.7538472,22.18331287,..
Indonesia,IDN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,..,..,..,..,2890,3150,3370,3650,3990,4320,4680,4890,4110,4050,4330,4670,4920,5150,5440,5840,6300,6800,7300,7590,8130,8690,9260,9570,9730,9690,9930,10350,11030,11620,11410,12410,13900,15010,16010,..
Indonesia,IDN,GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD,..,..,..,..,..,12329.32837,12744.18857,13378.98645,14013.33897,14827.48787,15640.68499,16093.85176,13654.65182,13532.07397,13753.38389,14109.48962,14805.77845,15311.72585,15910.66312,16978.09962,17590.1869,17939.37883,18504.48827,18928.13912,19533.78258,20220.2223,20802.93094,21813.86026,22556.11215,23462.49016,24358.59881,24981.54896,25734.2243,26237.97265,25884.27877,27058.28349,27580.80215,28184.30351,29216.717,..
Malaysia,MYS,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,20.18450261,19.96053524,20.07145177,18.08178043,15.21653328,14.35570291,14.57241077,13.78735612,13.66103724,12.94943656,11.68043447,11.10133253,13.31224426,10.84238805,8.599021888,8.010970591,8.985081404,9.306085216,9.271002093,8.262291704,8.609982841,9.98677368,9.968582335,9.219100044,10.08991593,11.45335312,9.793750746,9.113363845,8.873209013,8.287495083,8.462518856,8.598277535,7.512056931,7.241314016,8.165970899,9.566214588,8.961849227,7.765309321,8.128467822,..
Malaysia,MYS,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,39.23363732,38.52747117,38.35660929,39.80405386,42.19816763,42.10650958,41.14625503,40.08443964,40.04123585,41.40187798,43.52821087,44.5735375,43.87575333,46.4590177,48.32057149,46.202695,45.1153797,46.5786627,48.5303176,46.36832249,46.51565726,44.59599603,45.1050654,40.96782384,40.49893235,39.82426873,40.13500101,39.88537365,39.92442448,38.44972221,37.68327494,38.11467227,38.29142536,37.47653369,35.93472662,37.68268618,38.97424055,37.56485733,36.97337326,..
Malaysia,MYS,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,..,42.67743726,42.14571831,44.05177083,44.19260839,44.81957313,45.66437929,47.96682811,47.94409115,47.88221492,47.90054073,48.24358133,48.97102488,47.88272533,46.30149747,49.17309312,48.69641688,46.71023882,44.54759856,44.19715294,43.92627818,44.52024529,43.94810565,48.83602181,48.47741876,47.76672557,49.02239584,49.94472882,50.12269046,52.01387204,52.53157113,51.88211171,52.99099177,54.15487508,54.78859399,51.65193559,51.01581735,53.54665056,53.7203005,..
Malaysia,MYS,Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,67.91909937,63.04865265,63.43185017,64.06450448,65.59652673,65.86912762,63.28094928,60.91617594,60.40130768,60.29495714,57.13587565,56.11313189,51.32977691,52.56613158,53.9196018,58.16171695,57.96802301,57.5448517,56.5778149,55.66008926,55.50266093,56.71942165,56.21099579,61.88969176,60.69775539,61.23865211,63.49330555,65.52590088,65.7476255,67.04842746,67.35260712,67.5843449,69.3952627,71.42478795,73.97430247,70.64417513,69.22271763,72.43379549,72.72651809,..
Malaysia,MYS,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,26.34997346,22.08053277,24.60322616,29.07738067,33.04305473,36.35623575,36.62746712,38.87301532,40.24536864,43.58596324,42.49562531,43.11432069,26.82572914,21.89125028,25.29201658,25.12344751,23.48432856,22.41426658,20.95484002,22.30351486,21.9550122,22.40418433,20.57032349,21.97635711,22.43539956,22.18313914,25.36344842,26.47705608,25.97449665,25.86564353,25.51778782,25.0629653,24.2004646,22.9367865,20.91401628,19.28731746,18.20814497,19.22740008,20.54271838,..
